Element Structure Energy (eV/atom) a (A)  b (A)   c (A)
H	hcp	0.0000	3.900	3.900	6.356
He	fcc	0.0000	4.430	4.430	4.430
Li	bcc	0.0000	3.427	3.427	3.427
Be	hcp	0.0000	2.260	2.260	3.570
B	hcp	0.0000	2.876	2.876	1.782
C	hcp	0.0000	2.154	2.154	3.524
N	hcp	0.0000	2.519	2.519	2.446
O	sc	0.0000	3.430	3.430	3.430
F	sc	0.0000	3.000	3.000	3.000
Ne	sc	0.0000	4.430	4.430	4.430
Na	bcc	0.0000	4.173	4.173	4.173
Mg	hcp	0.0000	3.203	3.203	5.127
Al	fcc	0.0000	4.039	4.039	4.039
Si	dia	0.0000	5.430	5.430	5.430
P	bcc	0.0000	3.076	3.076	3.076
S	hcp	0.0000	3.365	3.365	3.516
Cl	sc	0.0000	3.600	3.600	3.600
Ar	fcc	0.0000	5.260	5.260	5.260
K	bcc	0.0000	4.758	4.758	7.587
Ca	fcc	0.0000	5.507	5.507	5.507
Sc	hcp	0.0000	3.319	3.319	5.178
Ti	hcp	0.0000	2.934	2.934	4.657
V	bcc	0.0000	2.993	2.993	2.993
Cr	bcc	0.0000	3.621	3.621	3.621
Mn	bcc	0.0000	2.799	2.799	2.799
Fe	bcc	0.0000	2.840	2.840	2.840
Co	hcp	0.0000	2.501	2.501	4.033
Ni	fcc	0.0000	3.506	3.506	3.506
Cu	fcc	0.0000	3.621	3.621	3.621
Zn	hcp	0.0000	2.627	2.627	5.207
Ga	dia	0.0000	4.510	4.510	4.510
Ge	dia	0.0000	5.660	5.660	5.660
As	bcc	0.0000	3.368	3.368	3.368
Se	hcp	0.0000	3.666	3.666	3.846
Br	bcc	0.0000	3.761	3.761	3.761
Kr	fcc	0.0000	5.720	5.720	5.720
Rb	bcc	0.0000	5.644	5.644	5.644
Sr	fcc	0.0000	6.023	6.023	6.023
Y	hcp	0.0000	3.659	3.659	5.666
Zr	hcp	0.0000	3.239	3.239	5.172
Nb	bcc	0.0000	3.321	3.321	3.321
Mo	bcc	0.0000	3.168	3.168	3.168
Tc	hcp	0.0000	2.761	2.761	4.421
Ru	hcp	0.0000	2.733	2.733	4.314
Rh	fcc	0.0000	3.844	3.844	3.844
Pd	fcc	0.0000	3.957	3.957	3.957
Ag	fcc	0.0000	4.161	4.161	4.161
Cd	hcp	0.0000	3.008	3.008	5.942
In 	hcp	0.0000	3.423	3.423	5.576
Sn	bcc	0.0000	3.809	3.809	3.809
Sb	bcc	0.0000	3.785	3.785	3.785
Te	hcp	0.0000	4.088	4.088	4.362
I	fcc	0.0000	5.195	5.195	5.195
Xe	fcc	0.0000	6.200	6.200	6.200
Cs	bcc	0.0000	6.110	6.110	6.110
Ba	bcc	0.0000	5.030	5.030	5.030
La	hcp	0.0000	3.753	3.753	7.352
Ce	fcc	0.0000	4.720	4.720	4.720
Pr	dhcp	0.0000	3.670	3.670	11.990
Nd	dhcp	0.0000	3.660	3.660	11.950
Pm	dhcp	0.0000	3.640	3.640	11.890
Sm	dhcp	0.0000	3.620	3.620	11.820
Eu	bcc	0.0000	4.639	4.639	4.639
Gd	hcp	0.0000	3.614	3.614	5.770
Tb	hcp	0.0000	3.640	3.640	5.664
Dy	hcp	0.0000	3.627	3.627	5.616
Ho	hcp	0.0000	3.609	3.609	5.578
Er	hcp	0.0000	3.587	3.587	5.546
Tm	hcp	0.0000	3.563	3.563	5.513
Yb	fcc	0.0000	5.449	5.449	5.449
Lu	hcp	0.0000	3.525	3.525	5.471
Hf	hcp	0.0000	3.198	3.198	5.075
Ta	bcc	0.0000	3.322	3.322	3.322
W	bcc	0.0000	3.187	3.187	3.187
Re	hcp	0.0000	2.781	2.781	4.497
Os	hcp	0.0000	2.759	2.759	4.357
Ir	fcc	0.0000	3.876	3.876	3.876
Pt	fcc	0.0000	3.977	3.977	3.977
Au	fcc	0.0000	4.171	4.171	4.171
Hg	hcp	0.0000	3.580	3.580	5.735
Tl	hcp	0.0000	3.549	3.549	5.738
Pb	fcc	0.0000	5.051	5.051	5.051
Bi	bcc	0.0000	3.988	3.988	3.988
Po	sc	0.0000	3.360	3.360	3.360
At	sc	0.0000	3.360	3.360	3.360
Rn	sc	0.0000	6.400	6.400	6.400
Fr	bcc	0.0000	6.050	6.050	6.050
Ra	bcc	0.0000	6.050	6.050	6.050
Ac	fcc	0.0000	5.662	5.662	5.662
Th	fcc	0.0000	5.041	5.041	5.041
Pa	hcp	0.0000	3.190	3.190	5.685
U	fcc	0.0000	4.432	4.432	4.432
Np	fcc	0.0000	4.353	4.353	4.353
Pu	fcc	0.0000	4.788	4.788	4.788
Am	dhcp	0.0000	3.520	3.520	11.500
Cm	dhcp	0.0000	3.500	3.500	11.430
Bk	dhcp	0.0000	3.480	3.480	11.370
Cf	dhcp	0.0000	3.460	3.460	11.300
Es	dhcp	0.0000	3.440	3.440	11.230
Fm	dhcp	0.0000	3.420	3.420	11.170
Md	dhcp	0.0000	3.400	3.400	11.100
No	dhcp	0.0000	3.380	3.380	11.040
Lr	dhcp	0.0000	3.360	3.360	10.970

