Element Structure       Energy (eV/atom)        a (Å)   b (Å)   c (Å)   MagInit
H       dia     -3.3900 3.75    3.75    3.75   0.01
He      sc      -0.0200 3.57    3.57    3.57   0.01
Li      bcc     -1.9000 3.49    3.49    3.49   0.01
Be      hcp     -3.7400 2.29    2.29    3.74   0.01
B       dia     -6.0000 5.06    5.06    5.06   0.01
C       dia     -9.2000 3.57    3.57    3.57   0.01
N       dia     -8.0000 3.50    3.50    3.50   0.01
O       sc      -4.8000 3.43    3.43    3.43   0.01
F       sc      -2.7000 3.00    3.00    3.00   0.01
Ne      sc      -0.0400 4.43    4.43    4.43   0.01
Na      bcc     -1.1300 4.23    4.23    4.23   0.01
Mg      hcp     -1.5100 3.21    3.21    5.24   0.01
Al      fcc     -3.7400 4.05    4.05    4.05   0.01
Si      dia     -5.4200 5.43    5.43    5.43   0.01
P       sc      -4.0000 3.34    3.34    3.34   0.01
S       sc      -3.0000 3.60    3.60    3.60   0.01
Cl      sc      -2.5000 3.60    3.60    3.60   0.01
Ar      sc      -0.0800 5.26    5.26    5.26   0.01
K       bcc     -0.9300 5.23    5.23    5.23   0.01
Ca      fcc     -1.8700 5.58    5.58    5.58   0.01
Sc      hcp     -3.9000 3.31    3.31    5.41   0.40
Ti      hcp     -4.8500 2.95    2.95    4.82   0.40
V       bcc     -5.3100 3.03    3.03    3.03   0.40
Cr      bcc     -6.7700 2.88    2.88    2.88  -0.40
Mn      bcc     -7.4300 2.97    2.97    2.97  -0.40
Fe      bcc     -8.2800 2.87    2.87    2.87   0.60
Co      hcp     -7.1000 2.51    2.51    4.10   0.60
Ni      fcc     -5.4200 3.52    3.52    3.52   0.60
Cu      fcc     -3.4900 3.61    3.61    3.61   0.01
Zn      hcp     -1.3500 2.66    2.66    4.34   0.01
Ga      dia     -2.8100 4.51    4.51    4.51   0.01
Ge      dia     -4.6100 5.66    5.66    5.66   0.01
Se      sc      -2.5000 3.80    3.80    3.80   0.01
Br      sc      -2.3000 3.90    3.90    3.90   0.01
Kr      sc      -0.1000 5.72    5.72    5.72   0.01
Rb      bcc     -0.8500 5.59    5.59    5.59   0.01
Sr      fcc     -1.1400 6.08    6.08    6.08   0.01
Pd      fcc     -3.9100 3.89    3.89    3.89   0.01
Ag      fcc     -2.9600 4.09    4.09    4.09   0.01
In      bct     -2.5200 4.59    4.59    4.82   0.01
Sn      dia     -3.8300 6.49    6.49    6.49   0.01
Te      sc      -2.3000 4.40    4.40    4.40   0.01
I       sc      -2.1000 4.40    4.40    4.40   0.01
Xe      sc      -0.1200 6.20    6.20    6.20   0.01
Cs      bcc     -0.7900 6.05    6.05    6.05   0.01
Ba      bcc     -1.1300 5.02    5.02    5.02   0.01
La      dhcp    -4.5000 3.75    3.75    12.25   0.01
Ce      fcc     -4.8400 5.16    5.16    5.16   0.01
Pr      dhcp    -4.9000 3.67    3.67    11.99   0.01
Nd      dhcp    -4.9500 3.66    3.66    11.95   0.01
Pm      dhcp    -5.0000 3.64    3.64    11.89   0.01
Sm      dhcp    -5.1000 3.62    3.62    11.82   0.01
Eu      bcc     -1.9900 4.61    4.61    4.61   0.01
Gd      hcp     -5.2000 3.63    3.63    5.93   0.50
Tb      hcp     -5.3000 3.60    3.60    5.88   0.50
Dy      hcp     -5.4000 3.59    3.59    5.86   0.50
Ho      hcp     -5.5000 3.58    3.58    5.85   0.50
Er      hcp     -5.6000 3.56    3.56    5.81   0.50
Tm      hcp     -5.7000 3.54    3.54    5.78   0.50
Yb      fcc     -1.9000 5.49    5.49    5.49   0.01
Lu      hcp     -5.8000 3.51    3.51    5.73   0.01
Pt      fcc     -5.8400 3.92    3.92    3.92   0.01
Au      fcc     -3.8100 4.08    4.08    4.08   0.01
Tl      hcp     -2.4900 3.46    3.46    5.65   0.01
Pb      fcc     -3.9700 4.95    4.95    4.95   0.01
Rn      sc      -0.1400 6.40    6.40    6.40   0.01
Th      fcc     -6.3000 5.08    5.08    5.08   0.01
Pa      hcp     -6.5000 3.61    3.61    5.89   0.01
U       ort     -8.0000 2.85    2.99    3.13   0.01
Np      ort     -8.2000 3.00    3.15    3.30   0.01
Pu      mon     -8.5000 4.64    5.10    5.57   0.01
Am      dhcp    -8.7000 3.52    3.52    11.50   0.01
Cm      dhcp    -8.9000 3.50    3.50    11.43   0.01
Bk      dhcp    -9.1000 3.48    3.48    11.37   0.01
Cf      dhcp    -9.3000 3.46    3.46    11.30   0.01
Es      dhcp    -9.5000 3.44    3.44    11.23   0.01
Fm      dhcp    -9.7000 3.42    3.42    11.17   0.01
Md      dhcp    -9.9000 3.40    3.40    11.10   0.01
No      dhcp    -10.100 3.38    3.38    11.04   0.01
Lr      dhcp    -10.300 3.36    3.36    10.97   0.01
